cv_cycle,split,method,SMILES,Name,Sol,Sol_prob,Sol_pred
0,random,chemprop_st,CCc1cc(NCc2cccc(OCCOC)c2)ncn1,Mol465,1,0.7335073709487915,1
0,random,chemprop_st,CC(C)c1cnc(COc2ccc(Br)nc2)o1,Mol1224,1,0.7506642937660217,1
0,random,chemprop_st,Cc1ccc(C)c(C(=O)Nc2cnc3c(c2)c(C)nn3C)c1,Mol673,0,0.4467733234167099,0
0,random,chemprop_st,Cc1nn(-c2ccc(C(=O)O)cc2C#Cc2ccccc2)c(C)c1C,Mol207,1,0.5713750898838044,1
0,random,chemprop_st,C=CCn1cnc2c(Cl)cc(-c3ccc(C(=O)NC4CC4)o3)cc21,Mol1078,0,0.2532477870583534,0
0,random,chemprop_st,Fc1cccc(Cn2nnc(-c3ccccc3)n2)c1F,Mol3136,0,0.086964064091444,0
0,random,chemprop_st,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,Mol3092,0,0.2437266170978546,0
0,random,chemprop_st,O=C(Cc1cccc(I)c1)N1CC(CO)C1,Mol1454,1,0.9297666430473328,1
0,random,chemprop_st,Cc1cnn(Cc2nc(Cn3cccn3)no2)c1,Mol1180,1,0.887236088514328,1
0,random,chemprop_st,O=C(Nc1nc2ccccc2[nH]1)c1ccncc1,Mol1390,0,0.4351176381111145,0
0,random,chemprop_st,CSc1ccccc1NC(=O)CN1CCCC(c2nc3ccccc3o2)C1,Mol1774,0,0.4754019677639007,0
0,random,chemprop_st,Cc1ccnc(C2CCN(C3CCCC3)CC2)n1,Mol1437,0,0.927113825082779,1
0,random,chemprop_st,O=C(NCC1(c2ccc(F)cc2)CCOCC1)c1ccccn1,Mol186,1,0.6408125519752502,1
0,random,chemprop_st,N#Cc1cccc(-c2ccc3[nH]ccc3c2)n1,Mol917,0,0.1279118105769157,0
0,random,chemprop_st,CCc1nnc2n1CCN(C(=O)c1ccccc1Oc1cccnc1)C2,Mol1162,1,0.8013728618621826,1
0,random,chemprop_st,CC(C)c1nnc(CN2CCN(c3nccs3)CC2)o1,Mol624,1,0.8437263906002045,1
0,random,chemprop_st,Cc1cccc(N(C)C(=O)COC2CCCC2)n1,Mol1294,1,0.8295074045658112,1
0,random,chemprop_st,COc1cc2nc(N)sc2cc1OC,Mol583,1,0.3938703626394272,0
0,random,chemprop_st,Cc1c(C(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)oc2c(F)cccc12,Mol1232,0,0.5092198848724365,1
0,random,chemprop_st,Cc1c(Cl)cccc1NC(=O)C(C)N1CCCN(c2nccs2)CC1,Mol1183,1,0.640099686384201,1
0,random,chemprop_st,C#CCNC(=O)c1cc(C(C)C)nn1CC,Mol972,1,0.9639691948890686,1
0,random,chemprop_st,O=C(CCNc1ncccn1)N1CCc2ccccc2C1,Mol731,1,0.8963626325130463,1
0,random,chemprop_st,Cc1nccc(C2CCN(Cc3ncc[nH]3)CC2)n1,Mol1376,1,0.9802882254123688,1
0,random,chemprop_st,Cc1cccn(Cc2cccc(C#N)c2)c1=O,Mol790,1,0.5267452001571655,1
0,random,chemprop_st,Cc1nc2ccccc2c(N)c1C(=O)/C=C/c1ccccc1,Mol681,1,0.2658138170838356,0
0,random,chemprop_st,c1cnn(-c2ccc(-c3ccc(NC4CC4)nn3)cc2)c1,Mol3397,0,0.1353408806025982,0
