fold,f1_score,precision_score,recall_score,wF1,wPrecision,wRecall,rep
0,0.5832592180841208,0.5853437094682231,0.6239299610894942,0.6286776212832551,0.6472613458528952,0.6549295774647887,0
1,0.6386963947510822,0.6429036458333334,0.6852213541666667,0.6583726415094339,0.6767295597484275,0.6910377358490566,0
2,0.5748832866479926,0.5908169934640524,0.6020261437908497,0.6262306368330464,0.6620281124497992,0.636144578313253,0
3,0.5966593952922078,0.6178385416666667,0.6156529017857143,0.6322658866290942,0.6727987421383648,0.6344339622641509,0
4,0.6039509945392298,0.6011764705882352,0.6418300653594771,0.6374874995805228,0.6458139534883722,0.6627906976744186,0
0,0.607918312624195,0.6247338935574229,0.6336227824463119,0.6450619388566883,0.6793385612001362,0.6587112171837709,1
1,0.6118985126859142,0.6320866141732284,0.6293307086614173,0.6471083186360963,0.6782021604938272,0.6574074074074074,1
2,0.5752837713467635,0.6016591676040495,0.5905511811023622,0.6252226939726939,0.6695570054945055,0.625,1
3,0.6010426392779333,0.6069934640522875,0.6461437908496732,0.6318466096115866,0.6543010752688173,0.6566820276497696,1
4,0.6053478422619047,0.6317708333333334,0.6276692708333333,0.6478298017771702,0.7002791068580542,0.6483253588516746,1
0,0.5981353282134532,0.6178106398809524,0.6247023809523808,0.6284300013711779,0.6668067226890756,0.6376470588235295,2
1,0.595566798095981,0.6063739114322771,0.6273948489901797,0.6357218310789738,0.6636961451247166,0.65,2
2,0.600148230498425,0.6119974059662776,0.6391050583657587,0.6364040943480197,0.6626168224299066,0.6612149532710281,2
3,0.5858247743541861,0.5961873638344226,0.6139215686274511,0.6300793650793651,0.657124183006536,0.6447058823529411,2
4,0.6062009758507813,0.6232814526588846,0.6318417639429312,0.6542623383478491,0.6884006334125099,0.665083135391924,2
0,0.565749007936508,0.5734700520833333,0.5957682291666666,0.6087148962148963,0.6341145833333333,0.6225961538461539,3
1,0.5612165828119137,0.5823235130628126,0.5875115805076894,0.6156373144772218,0.6524969616616949,0.6264501160092807,3
2,0.5723152281746032,0.5864908854166666,0.5958984374999999,0.6159024785474901,0.6422853828306264,0.6310904872389791,3
3,0.6336043477219948,0.6559757236227824,0.6524836601307189,0.6597327395471246,0.7002541155673407,0.6635730858468677,3
4,0.593344581927259,0.6181102362204725,0.6091863517060369,0.6451335656213706,0.6943089430894308,0.6439024390243903,3
0,0.6046037946428571,0.6235026041666667,0.6263671875,0.6486593235425011,0.6830607476635513,0.6588785046728972,4
1,0.5917114446297326,0.6076338706688902,0.6188715953307393,0.6320929005014515,0.6629114353579911,0.6460807600950119,4
2,0.5761042459486039,0.5967204002223457,0.5976005188067445,0.6187035055206077,0.6569505712023528,0.6294536817102138,4
3,0.6055940168780636,0.6112840466926069,0.6548962386511025,0.6369644813018307,0.6670682730923696,0.6602409638554216,4
4,0.5892406204906204,0.6185546875,0.6082682291666667,0.6208721514021053,0.6719662058371736,0.619815668202765,4
